,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Generator ID,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Technology,Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region,MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
69,Rio Grande Valley Sugar Growers,54338_B_6,54338,B,6,,Biomass,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,3.5,17397.0,2009.0,9999.0,,,Y,Biomass,,,,,,,,ESPH + C + WS,No,,,,,0.25617,0.25617,0.25617,0.25617,,,,,,,,,,,,Biomass,54338.0,26.269683,-97.867012,,,,,,,,,0.0,91.9,POINT (-97.867012 26.269683),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,3.5,357.31436193863937,1.4000000000000001,0.0,105630.0,5.26,5.26,0,0.0,1,1,0,False,False,False,54338+6,,,,,,,,,,,,
70,Gregory Power Facility,55086_G_GT1A,55086,G,GT1A,3863.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,141.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.838,14394.66429524233,56.400000000000006,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1A,,,,,,,,,,,,
71,Gregory Power Facility,55086_G_GT1B,55086,G,GT1B,3864.0,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,140.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.52,14292.574477545575,56.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+GT1B,,,,,,,,,,,,
72,Gregory Power Facility,55086_G_STG,55086,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,85.0,5500.0,2000.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03435,0.03435,0.03435,0.03435,,,,,,,,,,,,Natural Gas,55086.0,27.88929,-97.258417,,,,,,,,,3.419101677638398,117.0,POINT (-97.25841699999999 27.88929),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,54.315,8677.6345042241,34.0,0.0,13170.0,3.5999999999999996,22.405059227011186,1,0.0,1,1,0,False,False,False,55086+STG,,,,,,,,,,,,
73,Magic Valley Generating Station,55123_G_CTG1,55123,G,CTG1,3951.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,221.0,7318.0,2002.0,9999.0,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,,,3.419101677638398,117.0,POINT (-98.19 26.3403),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,70.278,22561.849710982657,88.4,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+CTG1,,,,,,,,,,,,
74,Magic Valley Generating Station,55123_G_CTG2,55123,G,CTG2,3952.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,221.0,7318.0,2002.0,9999.0,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,,,3.419101677638398,117.0,POINT (-98.19 26.3403),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,70.278,22561.849710982657,88.4,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+CTG2,,,,,,,,,,,,
75,Magic Valley Generating Station,55123_G_STG,55123,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,240.0,7318.0,2002.0,9999.0,,,N,Natural Gas,,,,,SCR,2000.0,,,,,,,,0.01572,0.01572,0.01572,0.01572,,,,,,,,,,,,Natural Gas,55123.0,26.3403,-98.19,,,,,,,,,3.419101677638398,117.0,POINT (-98.19 26.3403),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,76.32000000000001,24501.556247220986,96.0,0.0,13170.0,3.5999999999999996,28.62098607695779,1,0.0,1,1,0,False,False,False,55123+STG,,,,,,,,,,,,
76,Corpus Christi Energy Center,55206_G_CT1,55206,G,CT1,4138.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,152.0,9300.0,2002.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03927,0.03927,0.03927,0.03927,,,,,,,,,,,,Natural Gas,55206.0,27.8139,-97.4283,,,,,,,,,3.419101677638398,117.0,POINT (-97.42829999999999 27.8139),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,48.336,15517.652289906624,60.800000000000004,0.0,13170.0,3.5999999999999996,35.3976456020371,1,0.0,1,1,0,False,False,False,55206+CT1,,,,,,,,,,,,
77,Corpus Christi Energy Center,55206_G_CT2,55206,G,CT2,4139.0,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,152.0,9300.0,2002.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03927,0.03927,0.03927,0.03927,,,,,,,,,,,,Natural Gas,55206.0,27.8139,-97.4283,,,,,,,,,3.419101677638398,117.0,POINT (-97.42829999999999 27.8139),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,48.336,15517.652289906624,60.800000000000004,0.0,13170.0,3.5999999999999996,35.3976456020371,1,0.0,1,1,0,False,False,False,55206+CT2,,,,,,,,,,,,
78,Corpus Christi Energy Center,55206_G_ST1,55206,G,ST1,,Combined Cycle,,ERC_REST,Texas,48.0,Nueces,355.0,48355.0,165.0,9300.0,2002.0,9999.0,,,Y,Natural Gas,,,,DLNB,,,,,,,,,,0.03927,0.03927,0.03927,0.03927,,,,,,,,,,,,Natural Gas,55206.0,27.8139,-97.4283,,,,,,,,,3.419101677638398,117.0,POINT (-97.42829999999999 27.8139),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,52.47,16844.81991996443,66.0,0.0,13170.0,3.5999999999999996,35.3976456020371,1,0.0,1,1,0,False,False,False,55206+ST1,,,,,,,,,,,,
79,Ingleside Cogeneration,55313_G_CTG1,55313,G,CTG1,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,155.0,7590.0,1999.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0692,0.0692,0.0692,0.0692,,,,,,,,,,,,Natural Gas,55313.0,27.882778,-97.242778,,,,,,,,,3.419101677638398,117.0,POINT (-97.242778 27.882778),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.29,15823.921742996887,62.0,0.0,13170.0,3.5999999999999996,29.550981733275442,1,0.0,1,1,0,False,False,False,55313+CTG1,,,,,,,,,,,,
80,Ingleside Cogeneration,55313_G_CTG2,55313,G,CTG2,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,155.0,7590.0,1999.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0692,0.0692,0.0692,0.0692,,,,,,,,,,,,Natural Gas,55313.0,27.882778,-97.242778,,,,,,,,,3.419101677638398,117.0,POINT (-97.242778 27.882778),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.29,15823.921742996887,62.0,0.0,13170.0,3.5999999999999996,29.550981733275442,1,0.0,1,1,0,False,False,False,55313+CTG2,,,,,,,,,,,,
81,Ingleside Cogeneration,55313_G_STG,55313,G,STG,,Combined Cycle,,ERC_REST,Texas,48.0,San Patricio,409.0,48409.0,150.0,7590.0,1999.0,9999.0,,,Y,Natural Gas,,,,,,,,,,,,,,0.0692,0.0692,0.0692,0.0692,,,,,,,,,,,,Natural Gas,55313.0,27.882778,-97.242778,,,,,,,,,3.419101677638398,117.0,POINT (-97.242778 27.882778),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,47.7,15313.472654513116,60.0,0.0,13170.0,3.5999999999999996,29.550981733275442,1,0.0,1,1,0,False,False,False,55313+STG,,,,,,,,,,,,
82,Hidalgo Energy Center,55545_G_CTG1,55545,G,CTG1,3171.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,149.0,7288.0,2000.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03545,0.03545,0.03545,0.03545,,,,,,,,,,,,Natural Gas,55545.0,26.34172,-98.175759,,,,,,,,,3.419101677638398,117.0,POINT (-98.175759 26.34172),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,47.382,15211.382836816363,59.6,0.0,13170.0,3.5999999999999996,28.518413026628643,1,0.0,1,1,0,False,False,False,55545+CTG1,,,,,,,,,,,,
83,Hidalgo Energy Center,55545_G_CTG2,55545,G,CTG2,3172.0,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,149.0,7288.0,2000.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03545,0.03545,0.03545,0.03545,,,,,,,,,,,,Natural Gas,55545.0,26.34172,-98.175759,,,,,,,,,3.419101677638398,117.0,POINT (-98.175759 26.34172),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,47.382,15211.382836816363,59.6,0.0,13170.0,3.5999999999999996,28.518413026628643,1,0.0,1,1,0,False,False,False,55545+CTG2,,,,,,,,,,,,
84,Hidalgo Energy Center,55545_G_STG1,55545,G,STG1,,Combined Cycle,,ERC_REST,Texas,48.0,Hidalgo,215.0,48215.0,172.0,7288.0,2000.0,9999.0,,,N,Natural Gas,,,,DLNB,,,,,,,,,,0.03545,0.03545,0.03545,0.03545,,,,,,,,,,,,Natural Gas,55545.0,26.34172,-98.175759,,,,,,,,,3.419101677638398,117.0,POINT (-98.175759 26.34172),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,54.696,17559.448643841708,68.8,0.0,13170.0,3.5999999999999996,28.518413026628643,1,0.0,1,1,0,False,False,False,55545+STG1,,,,,,,,,,,,
85,Colorado Bend Energy Center,56350_G_CT1A,56350,G,CT1A,4573.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,70.0,8386.0,2002.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01482,0.01482,0.01482,0.01482,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.730000000000004,7146.2872387727875,28.0,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+CT1A,,,,,,,,,,,,
86,Colorado Bend Energy Center,56350_G_CT1B,56350,G,CT1B,4574.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,62.0,8386.0,2002.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01482,0.01482,0.01482,0.01482,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,39.618,6329.568697198755,24.8,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+CT1B,,,,,,,,,,,,
87,Colorado Bend Energy Center,56350_G_CT2A,56350,G,CT2A,4577.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,69.0,8386.0,2002.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01541,0.01541,0.01541,0.01541,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,44.091,7044.197421076034,27.6,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+CT2A,,,,,,,,,,,,
88,Colorado Bend Energy Center,56350_G_CT2B,56350,G,CT2B,4578.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,63.0,8386.0,2002.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,,,,,,,,,0.01541,0.01541,0.01541,0.01541,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,40.257,6431.658514895509,25.200000000000003,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+CT2B,,,,,,,,,,,,
89,Colorado Bend Energy Center,56350_G_ST1,56350,G,ST1,,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,101.0,8386.0,2007.0,9999.0,,,N,Natural Gas,,,,DLNB + LNB + NH3,SCR,2007.0,,,,,,,,0.01482,0.01482,0.01482,0.01482,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,32.118,10311.071587372166,40.400000000000006,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+ST1,,,,,,,,,,,,
90,Colorado Bend Energy Center,56350_G_ST2,56350,G,ST2,,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,103.0,8386.0,2008.0,9999.0,,,N,Natural Gas,,,,DLNB + LNB + NH3,SCR,2008.0,,,,,,,,0.01541,0.01541,0.01541,0.01541,,,,,,,,,,,,Natural Gas,56350.0,29.2878,-96.0683,,,,,,,,,3.419101677638398,117.0,POINT (-96.06829999999999 29.2878),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,32.754,10515.251222765673,41.2,0.0,13170.0,3.5999999999999996,32.27258666867561,1,0.0,1,1,0,False,False,False,56350+ST2,,,,,,,,,,,,
92,CFB Power Plant,56708_B_H1101,56708,B,H1101,,O/G Steam,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,143.0,11844.0,2012.0,9999.0,FBC,dry,N,Natural Gas,,,,CF + LNB + NH3,SNCR,,2012.0,,,,,,0.178,0.21605,0.21605,0.21605,0.21605,,,,,,,,,,,,Natural Gas,56708.0,28.650278,-96.539722,,,,,,,,,3.419101677638398,117.0,POINT (-96.539722 28.650278),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,33.033,14598.843930635838,57.2,0.0,37800.0,4.47,44.96584026994918,1,0.0,1,1,0,False,False,False,56708+H1101,,,,,,,,,,,,
93,CFB Power Plant,56708_B_H1201,56708,B,H1201,,O/G Steam,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,143.0,11844.0,2012.0,9999.0,FBC,dry,N,Natural Gas,,,,CF + LNB + NH3,SNCR,,2012.0,,,,,,0.178,0.21605,0.21605,0.21605,0.21605,,,,,,,,,,,,Natural Gas,56708.0,28.650278,-96.539722,,,,,,,,,3.419101677638398,117.0,POINT (-96.539722 28.650278),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,7.0,33.033,14598.843930635838,57.2,0.0,37800.0,4.47,44.96584026994918,1,0.0,1,1,0,False,False,False,56708+H1201,,,,,,,,,,,,
111,OCI Alamo Solar I,58537_G_ASTRO,58537,G,ASTRO,,Batteries,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,1.0,0.0,2016.0,9999.0,,,N,Energy Storage,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Energy Storage,58537.0,29.271667,-98.444722,58537.0,ASTRO,0.3,1,1,Batteries,0.81,0.0,0.0,0.0,POINT (-98.444722 29.271667),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,1,0,False,False,False,58537+ASTRO,,,,,,,,,,,,
124,Colorado Bend II,60122_G_CT7,60122,G,CT7,91195.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,313.2,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00786,0.00786,0.00786,0.00786,,,,,,,,,,,,Natural Gas,60122.0,29.289415,-96.065399,,,,,,,,,3.419101677638398,117.0,POINT (-96.065399 29.289415),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,99.5976,31974.530902623388,125.28,0.0,13170.0,3.5999999999999996,24.969385485239982,1,0.0,1,1,0,False,False,False,60122+CT7,,,,,,,,,,,,
125,Colorado Bend II,60122_G_CT8,60122,G,CT8,91196.0,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,313.2,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00786,0.00786,0.00786,0.00786,,,,,,,,,,,,Natural Gas,60122.0,29.289415,-96.065399,,,,,,,,,3.419101677638398,117.0,POINT (-96.065399 29.289415),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,99.5976,31974.530902623388,125.28,0.0,13170.0,3.5999999999999996,24.969385485239982,1,0.0,1,1,0,False,False,False,60122+CT8,,,,,,,,,,,,
126,Colorado Bend II,60122_G_STG9,60122,G,STG9,,Combined Cycle,,ERC_REST,Texas,48.0,Wharton,481.0,48481.0,461.4,6250.0,2017.0,9999.0,,,N,Natural Gas,,,,,SCR,,,,,,,,,0.00786,0.00786,0.00786,0.00786,,,,,,,,,,,,Natural Gas,60122.0,29.289415,-96.065399,,,,,,,,,3.419101677638398,117.0,POINT (-96.065399 29.289415),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,146.7252,47104.24188528235,184.56,0.0,13170.0,3.5999999999999996,24.969385485239982,1,0.0,1,1,0,False,False,False,60122+STG9,,,,,,,,,,,,
127,CPS 1,60472_G_CPS1,60472,G,CPS1,,Solar PV,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,1.0,0.0,2016.0,9999.0,,,N,Solar,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Solar,60472.0,29.377966,-98.26922,,,,,,,,,0.0,0.0,POINT (-98.26922 29.377966),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,0.0,1.0,0.10208981769675411,0.0,0.0,27750.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60472+CPS1,,,,,,,,,,,,
128,"Javelina Wind Energy II, LLC",60645_G_WJ21,60645,G,WJ21,,Onshore Wind,,ERC_REST,Texas,48.0,Webb,479.0,48479.0,200.0,0.0,2016.0,9999.0,,,N,Wind,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Wind,60645.0,27.44,-98.91,,,,,,,,,0.0,0.0,POINT (-98.91 27.44),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,0.0,200.0,20.417963539350822,0.0,0.0,39550.0,0.0,0.0,0,0.0,0,0,0,False,False,False,60645+WJ21,,,,,,,,,,,,
129,Coleto Creek,6178_B_1,6178,B,1,2826.0,Coal Steam,,ERC_REST,Texas,48.0,Goliad,175.0,48175.0,635.0,9890.0,1980.0,9999.0,tangential,wet,N,Subbituminous,,,,LNC3,,,,B,,ACI,2016.0,,1.2,0.12786,0.12786,0.12786,0.12786,0.1,0.1,0.1,,,,,,,,,Subbituminous,6178.0,28.7128,-97.214167,,,,,,,,,1.7494556002769337,214.3,POINT (-97.214167 28.7128),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,12.0,113.66499999999999,64827.03423743886,254.0,0.0,37800.0,4.47,21.77211588673887,1,0.0,1,1,0,False,False,False,6178+1,,,,,,,,,,,,
130,San Miguel,6183_B_SM-1,6183,B,SM-1,2835.0,Coal Steam,,ERC_REST,Texas,48.0,Atascosa,13.0,48013.0,391.0,11931.0,1982.0,9999.0,wall,dry,N,Lignite,Wet Scrubber,1982.0,0.954,LNB + OFA,SNCR,,2015.0,ESPC,No,ACI,2016.0,,1.2,0.15874,0.15874,0.15874,0.15874,0.1,0.1,0.1,0.99,,,,,,,,Lignite,6183.0,28.7044,-98.4775,,,,,,,,,1.7494556002769337,215.4,POINT (-98.47750000000001 28.7044),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,12.0,69.98899999999999,39917.11871943086,156.4,0.0,37800.0,4.47,25.342754766904093,1,0.0,1,1,0,False,False,False,6183+SM-1,,,,,,,,,,,,
131,South Texas Project,6251_G_1,6251,G,1,,Nuclear,,ERC_REST,Texas,48.0,Matagorda,321.0,48321.0,1280.0,10456.0,1988.0,2068.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6251.0,28.795,-96.0481,,,,,,,,,0.6381663463155712,0.0,POINT (-96.04810000000001 28.795),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,20.0,102.4,653374.8332592263,1152.0,0.0,93280.0,2.14,8.812667317075613,0,0.0,1,1,0,False,False,False,6251+1,,,,,,,,,,,,
132,South Texas Project,6251_G_2,6251,G,2,,Nuclear,,ERC_REST,Texas,48.0,Matagorda,321.0,48321.0,1280.0,10456.0,1989.0,2069.0,,,N,Nuclear Fuel,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,Nuclear Fuel,6251.0,28.795,-96.0481,,,,,,,,,0.6381663463155712,0.0,POINT (-96.04810000000001 28.795),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,20.0,102.4,653374.8332592263,1152.0,0.0,93280.0,2.14,8.812667317075613,0,0.0,1,1,0,False,False,False,6251+2,,,,,,,,,,,,
133,J K Spruce,7097_B_BLR1,7097,B,BLR1,2939.0,Coal Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,560.0,9754.0,1992.0,9999.0,tangential,wet,N,Subbituminous,Wet Scrubber,1992.0,0.93,LNC3,,,,B,,ACI,2015.0,,0.35,0.13973,0.13973,0.13973,0.13973,0.1,0.1,0.1,0.9800000000000001,,,,,,,,Subbituminous,7097.0,29.309722,-98.3203,,,,,,,,,1.7494556002769337,214.3,POINT (-98.3203 29.309722),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,12.0,100.24,57170.2979101823,224.0,0.0,37800.0,4.47,21.53418992510121,1,0.0,1,1,0,False,False,False,7097+BLR1,,,,,,,,,,,,
134,J K Spruce,7097_B_BLR2,7097,B,BLR2,2940.0,Coal Steam,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,785.0,9724.0,2010.0,9999.0,tangential,wet,N,Subbituminous,Wet Scrubber,2010.0,0.95,AA + LNB + NH3,SCR,2010.0,,B,,ACI,2013.0,,0.1,0.04913,0.04913,0.04913,0.04913,0.1,0.1,0.1,0.99,,,,,,,,Subbituminous,7097.0,29.309722,-98.3203,,,,,,,,,1.7494556002769337,214.3,POINT (-98.3203 29.309722),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,12.0,140.515,80140.50689195198,314.0,0.0,37800.0,4.47,21.481706257092902,1,0.0,1,1,0,False,False,False,7097+BLR2,,,,,,,,,,,,
135,Arthur Von Rosenberg,7512_G_1,7512,G,1,2484.0,Combined Cycle,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,157.0,7178.0,2000.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,2000.0,,,,,,,0.5,0.02878,0.02878,0.02878,0.02878,,,,,,,,,,,,Natural Gas,7512.0,29.257046,-98.384045,,,,,,,,,3.419101677638398,117.0,POINT (-98.384045 29.257046),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,28.142311842088418,1,0.0,1,1,0,False,False,False,7512+1,,,,,,,,,,,,
136,Arthur Von Rosenberg,7512_G_2,7512,G,2,2485.0,Combined Cycle,,ERC_REST,Texas,48.0,Bexar,29.0,48029.0,157.0,7178.0,2000.0,9999.0,,,N,Natural Gas,,,,DLNB,SCR,2000.0,,,,,,,0.5,0.02878,0.02878,0.02878,0.02878,,,,,,,,,,,,Natural Gas,7512.0,29.257046,-98.384045,,,,,,,,,3.419101677638398,117.0,POINT (-98.384045 29.257046),64.0,65.0,65.0,51.695295702,9.56289745704,p65,rto10,p65,4.0,49.926,16028.101378390395,62.800000000000004,0.0,13170.0,3.5999999999999996,28.142311842088418,1,0.0,1,1,0,False,False,False,7512+2,,,,,,,,,,,,
